scenario,calibration_mode,route,route_label,mean_licensed_discovery_utility,mean_cost_normalized_utility,mean_true_licensed_claims,mean_overclaim_rate,mean_evaluator_strength,mean_calibration_quality,mean_goal_clarity,mean_route_domain_applicability,licensed_ordering_share,rank,scenario_label,mean_claim_gap,mean_overclaim_gap,mean_claim_calibration_accuracy,mean_final_claim_level,mean_licensed_claim_level,terminal_mean_overclaim_gap,terminal_mean_overclaim_rate
base_model_plus_evaluator_scaling,imperfect,hybrid_calibrated_loop,Hybrid-Cal loop,0.14223878750953975,0.35654617224866525,0.2323923957813933,0.018806429815246894,0.8970955309655827,0.9453497446363482,0.6633333333333333,0.8,0.8333333333333334,1,Base model plus evaluator scaling,0.0,0.0,1.0,5.55,5.55,0.0,0.017906633534159555
base_model_plus_evaluator_scaling,imperfect,algorithmic_math_agent,Algorithmic and mathematical discovery agent,0.09874840270310176,0.37703535997780707,0.23913368356516834,0.017838183144297463,0.9780525308960797,0.8933338236752116,0.6633333333333333,0.4833333333333334,0.8333333333333334,2,Base model plus evaluator scaling,0.0,0.0,1.0,5.916666666666667,5.916666666666667,0.0,0.01547444672137187
base_model_plus_evaluator_scaling,imperfect,multi_agent_coscientist,Multi-agent co-scientist,0.0914318648905035,0.24803546949165023,0.2251839231585299,0.07282737243619272,0.6999556990638331,0.6756705315027068,0.6633333333333333,0.7016666666666667,0.8333333333333334,3,Base model plus evaluator scaling,0.01138279383550995,0.016666666666666666,0.8701927431874446,5.816666666666666,5.8,0.0,0.06198109967900528
base_model_plus_evaluator_scaling,imperfect,specialized_foundation_model,Specialized foundation model,0.06666887315374846,0.14689852118321986,0.15416769946258874,0.036400260272674755,0.7606246232120666,0.7417343623254666,0.6633333333333333,0.655,0.8333333333333334,4,Base model plus evaluator scaling,0.0,0.0,1.0,5.033333333333333,5.033333333333333,0.0,0.03632344660218113
base_model_plus_evaluator_scaling,imperfect,ai_scientist_pipeline,End-to-end AI scientist pipeline,0.05995201006530671,0.1968148325471965,0.19703441587653267,0.1251482361858672,0.6223967873999445,0.5278977737509527,0.6633333333333333,0.6333333333333333,0.8333333333333334,5,Base model plus evaluator scaling,0.06804406143012678,0.48333333333333334,0.6177247433810816,5.783333333333333,5.3,0.3333333333333333,0.11728499849517778
base_model_plus_evaluator_scaling,imperfect,llm_research_assistant,Human-led LLM assistant,0.05419102341490744,0.19391550479415834,0.16241796581113419,0.0807307459394561,0.6391248957448268,0.6395482091849825,0.6633333333333333,0.6733333333333333,0.8333333333333334,6,Base model plus evaluator scaling,0.014407591495800875,0.03333333333333333,0.8150166572397489,4.883333333333334,4.85,0.0,0.07863349365538995
base_model_plus_evaluator_scaling,imperfect,self_driving_laboratory,Self-driving laboratory,0.03527810916185989,0.05346731259248805,0.10788537461966591,0.02854341146751442,0.9284762001749093,0.8183391467846199,0.6633333333333333,0.5416666666666665,0.8333333333333334,7,Base model plus evaluator scaling,0.0,0.0,1.0,5.7,5.7,0.0,0.02764612372794298
base_model_scaling,imperfect,hybrid_calibrated_loop,Hybrid-Cal loop,0.10658398002679381,0.26817088269722983,0.17944002351280866,0.022736697188636624,0.7081665821915449,0.8963341963022374,0.6633333333333333,0.8,0.8333333333333334,1,Base model-only scaling,0.0,0.0,1.0,4.95,4.95,0.0,0.02282696679384405
base_model_scaling,imperfect,algorithmic_math_agent,Algorithmic and mathematical discovery agent,0.07888137564573303,0.30121356187320075,0.18912623017286076,0.023513297038211645,0.795073008102871,0.8450369400324557,0.6633333333333333,0.4833333333333334,0.8333333333333334,2,Base model-only scaling,0.0,0.0,1.0,5.35,5.35,0.0,0.02309426711750068
base_model_scaling,imperfect,specialized_foundation_model,Specialized foundation model,0.04846874930984975,0.10724419735406271,0.12156472703209341,0.039522793155727806,0.6142563395488945,0.6969666461810405,0.6633333333333333,0.655,0.8333333333333334,3,Base model-only scaling,9.337462314136822e-05,0.0,0.99397296579407,4.566666666666666,4.566666666666666,0.0,0.039391297001755844
base_model_scaling,imperfect,multi_agent_coscientist,Multi-agent co-scientist,0.0466253584505687,0.1306188603815493,0.17214268797449572,0.10906736583047091,0.5554425851600306,0.6311665648725604,0.6633333333333333,0.7016666666666667,0.8333333333333334,4,Base model-only scaling,0.051651879639218364,0.1,0.6292268462603452,5.233333333333333,5.133333333333334,0.3333333333333333,0.10756910129192314
